,mode,greedy,env_name,agent_name,global_mixture_bits_per_step,agent_bits_per_step,mixture_bits_per_step,MDL-Regret,MDL-Mix-Regret,meta_agent_bits_per_step,MDL-MA-Regret,MDL-MA-Mix-Regret,meta_agent_self_bits_per_step,MDL-MAS-Regret,MDL-MAS-Mix-Regret,posterior_weight
0,thompson,True,Random-Maze-0.05-20x10,qlearning,0.9817565965147659,0.9817565965147659,0.9817565965147659,0.0,0.0,0.9817565965140428,7.230882559383645e-13,-7.230882559383645e-13,0.9673638452357054,0.014392751279060478,-0.014392751279060478,1.0
1,thompson,True,Random-Maze-0.1-20x10,qlearning,0.9338044517932695,0.9338044517932695,0.9338044517932695,0.0,0.0,0.9688045955283272,-0.035000143735057665,0.035000143735057665,0.9449603729663955,-0.011155921173125916,0.011155921173125916,1.0
2,thompson,True,Random-Maze-0.15-20x10,qlearning,0.9037502137214534,0.9037502137214534,0.9037502137214534,0.0,0.0,0.9702392509142953,-0.06648903719284194,0.06648903719284194,0.9319906651537624,-0.02824045143230902,0.02824045143230902,1.0
3,thompson,True,Random-Maze-0.2-20x10,qlearning,0.8663323446046741,0.8663323446046741,0.8663323446046741,0.0,0.0,0.9541154137389861,-0.087783069134312,0.087783069134312,0.9123688856220293,-0.046036541017355215,0.046036541017355215,1.0
4,thompson,True,Random-Maze-0.25-20x10,qlearning,0.7261239689684935,0.7261239689684935,0.7261239689684935,0.0,0.0,1.1426072904708124,-0.4164833215023189,0.4164833215023189,0.8585976359658986,-0.13247366699740504,0.13247366699740504,1.0
5,thompson,True,Random-Maze-0.3-20x10,qlearning,0.6792234505989024,0.6792234505989024,0.6792234505989024,0.0,0.0,1.1526578467265816,-0.4734343961276791,0.4734343961276791,0.7915438213673457,-0.11232037076844326,0.11232037076844326,1.0
6,thompson,True,Random-Maze-0.35-20x10,qlearning,0.6355261312963962,0.6355261312963962,0.6355261312963962,0.0,0.0,1.1481679106067622,-0.5126417793103659,0.5126417793103659,0.7510970877075509,-0.11557095641115467,0.11557095641115467,1.0
7,thompson,True,Random-Maze-0.4-20x10,qlearning,0.6207698277446085,0.6207698277446085,0.6207698277446085,0.0,0.0,1.1446317424508268,-0.5238619147062182,0.5238619147062182,0.7195425672283736,-0.09877273948376508,0.09877273948376508,1.0
8,thompson,True,Random-Maze-0.45-20x10,qlearning,0.5824055831476679,0.5824055831476679,0.5824055831476679,0.0,0.0,1.1456794223441216,-0.5632738391964537,0.5632738391964537,0.6535214841114685,-0.0711159009638006,0.0711159009638006,1.0
9,thompson,True,Random-Maze-0.5-20x10,qlearning,0.5740043403065502,0.5740043403065502,0.5740043403065502,0.0,0.0,1.1459142910913194,-0.5719099507847691,0.5719099507847691,0.6538552560440318,-0.0798509157374816,0.0798509157374816,1.0
10,thompson,True,Random-Maze-0.55-20x10,qlearning,0.5795563558781828,0.5795563558781828,0.5795563558781828,0.0,0.0,1.1036739132247024,-0.5241175573465197,0.5241175573465197,0.6563794583706549,-0.07682310249247215,0.07682310249247215,1.0
11,thompson,True,Random-Maze-0.6-20x10,qlearning,0.5641668542518617,0.5641668542518617,0.5641668542518617,0.0,0.0,1.112007813971384,-0.5478409597195223,0.5478409597195223,0.6778957748139491,-0.11372892056208739,0.11372892056208739,1.0
12,thompson,True,Random-Maze-0.65-20x10,qlearning,0.5010382011220395,0.5010382011220395,0.5010382011220395,0.0,0.0,1.0712911943714452,-0.5702529932494057,0.5702529932494057,0.6165143146449814,-0.11547611352294196,0.11547611352294196,1.0
13,thompson,True,Random-Maze-0.7-20x10,qlearning,0.4625028864184203,0.4625028864184203,0.4625028864184203,0.0,0.0,1.077258118368929,-0.6147552319505086,0.6147552319505086,0.5905168419990627,-0.12801395558064244,0.12801395558064244,1.0
14,thompson,True,Random-Maze-0.75-20x10,qlearning,0.4439687998319603,0.4439687998319603,0.4439687998319603,0.0,0.0,1.2859318827361244,-0.841963082904164,0.841963082904164,0.5589154433043553,-0.11494664347239497,0.11494664347239497,1.0
15,thompson,True,Random-Maze-0.8-20x10,qlearning,0.49552676518522787,0.49552676518522787,0.49552676518522787,0.0,0.0,1.322784617238957,-0.8272578520537291,0.8272578520537291,0.5440100338086138,-0.04848326862338592,0.04848326862338592,1.0
16,thompson,True,Random-Maze-0.85-20x10,qlearning,0.40544010438483724,0.40544010438483724,0.40544010438483724,0.0,0.0,1.4845584981530708,-1.0791183937682336,1.0791183937682336,0.47245705262734783,-0.06701694824251059,0.06701694824251059,1.0
17,thompson,True,Random-Maze-0.9-20x10,qlearning,0.4009576948583055,0.4009576948583055,0.4009576948583055,0.0,0.0,1.4884329356262564,-1.0874752407679509,1.0874752407679509,0.46399579921529993,-0.06303810435699442,0.06303810435699442,1.0
18,thompson,True,Random-Maze-0.95-20x10,qlearning,0.39888990398596763,0.39888990398596763,0.39888990398596763,0.0,0.0,1.4884329356262564,-1.0895430316402888,1.0895430316402888,0.4766967711634171,-0.07780686717744945,0.07780686717744945,1.0
19,thompson,True,Random-Maze-20x10,qlearning,0.34881867871469974,0.34881867871469974,0.34881867871469974,0.0,0.0,1.4884329356262564,-1.1396142569115568,1.1396142569115568,0.4423467311308335,-0.09352805241613377,0.09352805241613377,1.0
20,value-mixture,True,Random-Maze-0.05-20x10,qlearning,0.9817565965147659,0.9817565965147659,0.9817565965147659,0.0,0.0,1.289851445229686,-0.3080948487149202,0.3080948487149202,0.44919723807098233,0.5325593584437835,-0.5325593584437835,1.0
21,value-mixture,True,Random-Maze-0.1-20x10,qlearning,0.9338044517932695,0.9338044517932695,0.9338044517932695,0.0,0.0,1.1375892591742078,-0.2037848073809383,0.2037848073809383,0.44919723807098233,0.4846072137222872,-0.4846072137222872,1.0
22,value-mixture,True,Random-Maze-0.15-20x10,qlearning,0.9037502137214534,0.9037502137214534,0.9037502137214534,0.0,0.0,1.1258220501357252,-0.22207183641427186,0.22207183641427186,0.44919723807098233,0.45455297565047104,-0.45455297565047104,1.0
23,value-mixture,True,Random-Maze-0.2-20x10,qlearning,0.8663323446046741,0.8663323446046741,0.8663323446046741,0.0,0.0,1.0429087256669927,-0.17657638106231854,0.17657638106231854,0.44919723807098233,0.4171351065336918,-0.4171351065336918,1.0
24,value-mixture,True,Random-Maze-0.25-20x10,qlearning,0.7261239689684935,0.7261239689684935,0.7261239689684935,0.0,0.0,1.0390388294545247,-0.31291486048603123,0.31291486048603123,0.44919723807098233,0.2769267308975112,-0.2769267308975112,1.0
25,value-mixture,True,Random-Maze-0.3-20x10,qlearning,0.6792234505989024,0.6792234505989024,0.6792234505989024,0.0,0.0,0.9619960904822772,-0.28277263988337475,0.28277263988337475,0.44919723807098233,0.2300262125279201,-0.2300262125279201,1.0
26,value-mixture,True,Random-Maze-0.35-20x10,qlearning,0.6355261312963962,0.6355261312963962,0.6355261312963962,0.0,0.0,0.8120530516877297,-0.17652692039133344,0.17652692039133344,0.44919723807098233,0.1863288932254139,-0.1863288932254139,1.0
27,value-mixture,True,Random-Maze-0.4-20x10,qlearning,0.6207698277446085,0.6207698277446085,0.6207698277446085,0.0,0.0,0.8338374734464189,-0.21306764570181036,0.21306764570181036,0.44919723807098233,0.1715725896736262,-0.1715725896736262,1.0
28,value-mixture,True,Random-Maze-0.45-20x10,qlearning,0.5824055831476679,0.5824055831476679,0.5824055831476679,0.0,0.0,0.7442716252889569,-0.16186604214128897,0.16186604214128897,0.44919723807098233,0.13320834507668555,-0.13320834507668555,1.0
29,value-mixture,True,Random-Maze-0.5-20x10,qlearning,0.5740043403065502,0.5740043403065502,0.5740043403065502,0.0,0.0,0.7682748641520897,-0.19427052384553944,0.19427052384553944,0.44919723807098233,0.1248071022355679,-0.1248071022355679,1.0
30,value-mixture,True,Random-Maze-0.55-20x10,qlearning,0.5795563558781828,0.5795563558781828,0.5795563558781828,0.0,0.0,0.6317058563579805,-0.05214950047979772,0.05214950047979772,0.44919723807098233,0.13035911780720044,-0.13035911780720044,1.0
31,value-mixture,True,Random-Maze-0.6-20x10,qlearning,0.5641668542518617,0.5641668542518617,0.5641668542518617,0.0,0.0,0.594546364018144,-0.03037950976628223,0.03037950976628223,0.44919723807098233,0.11496961618087942,-0.11496961618087942,1.0
32,value-mixture,True,Random-Maze-0.65-20x10,qlearning,0.5010382011220395,0.5010382011220395,0.5010382011220395,0.0,0.0,0.5900800154985768,-0.08904181437653735,0.08904181437653735,0.8080181036343669,-0.30697990251232743,0.30697990251232743,1.0
33,value-mixture,True,Random-Maze-0.7-20x10,qlearning,0.4625028864184203,0.4625028864184203,0.4625028864184203,0.0,0.0,0.5797501916448089,-0.1172473052263886,0.1172473052263886,0.8080181036343669,-0.3455152172159466,0.3455152172159466,1.0
34,value-mixture,True,Random-Maze-0.75-20x10,qlearning,0.4439687998319603,0.4439687998319603,0.4439687998319603,0.0,0.0,0.7521743996550538,-0.30820559982309353,0.30820559982309353,0.8080181036343669,-0.3640493038024066,0.3640493038024066,1.0
35,value-mixture,True,Random-Maze-0.8-20x10,qlearning,0.49552676518522787,0.49552676518522787,0.49552676518522787,0.0,0.0,0.7590443696498752,-0.26351760446464734,0.26351760446464734,0.7923464918950451,-0.29681972670981727,0.29681972670981727,1.0
36,value-mixture,True,Random-Maze-0.85-20x10,qlearning,0.40544010438483724,0.40544010438483724,0.40544010438483724,0.0,0.0,0.7432217399266433,-0.33778163554180607,0.33778163554180607,0.7923464918950451,-0.3869063875102079,0.3869063875102079,1.0
37,value-mixture,True,Random-Maze-0.9-20x10,qlearning,0.4009576948583055,0.4009576948583055,0.4009576948583055,0.0,0.0,0.6995061983866242,-0.2985485035283187,0.2985485035283187,0.7923464918950451,-0.3913887970367396,0.3913887970367396,1.0
38,value-mixture,True,Random-Maze-0.95-20x10,qlearning,0.39888990398596763,0.39888990398596763,0.39888990398596763,0.0,0.0,0.7076011560663131,-0.3087112520803455,0.3087112520803455,0.7923464918950451,-0.3934565879090775,0.3934565879090775,1.0
39,value-mixture,True,Random-Maze-20x10,qlearning,0.34881867871469974,0.34881867871469974,0.34881867871469974,0.0,0.0,0.6773011911212061,-0.3284825124065064,0.3284825124065064,0.7923464918950451,-0.4435278131803454,0.4435278131803454,1.0
